
12;14;10.106;4055.15;1087.86;2967.29;4044.95;50;1.73077;1;4;1;0;348;123;0;0
12;14;10.124;4184.66;1121.04;3063.62;4174.49;50;1.73077;1;4;1;0;348;123;0;1
12;14;20.001;2042.2;1193.37;848.838;2022.17;50;1.91667;1;9;1;0;262;51;0;2
12;14;10.014;1317.93;1128.91;189.02;1307.89;50;3.5;1;6;1;0;207;6;0;3
12;15;10.347;906.976;906.976;0;896.621;50;0;0;0;1;0;165;2;0;4
12;14;10.61;346.986;346.986;0;336.372;50;0;0;0;1;0;51;0;0;5
12;14;10.096;367.878;367.878;0;357.777;50;0;0;0;1;0;55;0;0;6
12;13;10.383;3908.23;1097.66;2810.57;3897.8;50;2.26667;1;8;1;0;367;138;0;7
12;13;10.384;45.076;45.076;0;34.689;50;0;0;0;1;0;5;0;0;8
12;14;9.312;744.874;744.874;0;735.554;50;0;0;0;1;0;124;1;0;9
12;13.9;11.1377;1792;804.063;987.934;1780.83;50;348;12;1780.83;2.22898;1;1;193;10;0;1932;444;0
