
2;3;116.49;3500.28;911.326;2588.96;3383.76;100;603;28;0
2;3;149.77;3519.43;937.497;2581.94;3369.64;100;603;28;1
2;3;202.849;1820.98;694.173;1126.81;1618.11;100;375;15;2
2;3;81.644;554.309;173.496;380.813;472.652;100;64;2;3
2;3;150.133;1677.79;553.223;1124.57;1527.64;100;300;12;4
2;3;170.953;559.649;321.931;237.718;388.682;100;114;9;5
2;3;114.342;1528.75;765.148;763.602;1414.37;100;481;16;6
2;3;106.809;2441.86;902.067;1539.79;2335.03;100;604;29;7
2;3;324.339;893.595;663.319;230.276;569.227;100;250;5;8
2;3;138.366;218.671;187.951;30.72;80.294;100;36;2;9
2;3;155.569;1671.53;611.013;1060.52;1515.94;100;0;2;80.294;3430;146
