
2;2;71.599;168368;145495;22873.9;-974.395;1000;0
2;2;72.083;169089;146169;22919.2;-972.188;1000;1
2;2;72.682;170863;148031;22832.1;-972.165;1000;2
2;2;72.264;168174;145421;22752.5;-975.462;1000;3
2;2;72.042;168637;144836;23801.2;-979.71;1000;4
2;2;71.966;171829;148982;22847.2;-978.139;1000;5
2;2;71.898;168336;144889;23446.9;-975.624;1000;6
2;2;72.675;167923;145234;22689.8;-973.405;1000;7
2;2;72.073;168609;145360;23248.8;-971.811;1000;8
2;2;71.783;171388;148194;23194.6;-977.673;1000;9
2;2;72.1065;169322;146261;23060.6;-975.057;1000;0;2;-979.71
