
6;7;259.041;23.146;235.895;50;256.445;1;1;0;0
6;7;267.992;22.453;245.539;50;265.367;1;1;0;1
6;6;2579.34;141.052;2438.29;50;2576.64;7;7;0;2
6;6;594.82;40.464;554.356;50;592.305;2;2;0;3
6;6;3544.87;154.348;3390.52;50;3542.31;7;7;0;4
6;6;6186.18;184.876;6001.31;50;6183.64;9;9;0;5
6;6;21.65;21.65;0;50;19.037;1;1;0;6
6;7;9789.83;222.705;9567.12;50;9786.99;11;11;0;7
6;6;102.928;102.928;0;50;88.996;1;1;0;8
6;6;75.661;75.661;0;50;61.972;1;1;0;9
6;6.3;2342.23;98.9283;2243.3;50;2337.37;0;6;19.037;4.1;41;0
