Instância;Custo Médio Após BL;Custo Médio;Tempo Médio(ms);Tempo Médio Construtivo(ms);Tempo Médio BL(ms);Tempo Médio Melhor Solução(ms);Alpha=0.05;Alpha=0.10;Alpha=0.15;Alpha=0.20;Alpha=0.25;Alpha=0.30;Iteração Média da Melhor Solução;Semente;Menor Custo Médio;Tempo Médio(ms)
20-0.8;2.4;2.5;55.6250;25.4688;30.1562;1.8750;0;1;1;0;5;3;6.1400;0;2.4;56.2500
20-0.5;1.8;2.0;52.1875;14.6875;37.5000;2.6562;0;0;0;0;5;1;4.4000;0;1.8;54.6875
20-0.2;6.7;6.9;267.0312;25.3125;241.7187;9.5312;2;3;1;0;2;2;6.1700;0;6.7;264.0625
30-0.8;2.8;2.8;151.0938;57.3438;93.7500;5.4688;0;0;0;0;8;2;6.0000;0;2.8;156.2500
30-0.5;3.7;3.9;252.1876;70.0000;182.1875;9.0625;1;2;0;0;7;0;6.0600;0;3.7;259.3750
30-0.2;2.2;2.3;262.9688;19.5312;243.4375;9.6875;0;1;0;0;0;2;1.9100;0;2.2;271.8750
40-0.8;2.9;2.9;302.0312;120.7812;181.2500;12.1875;0;0;0;0;9;1;6.0000;0;2.9;298.4375
40-0.5;3.7;4.0;490.7813;120.6250;370.1562;19.2188;0;3;1;0;6;0;6.8200;0;3.7;489.0625
