
9;9;538.152;65.822;472.33;50;537.054;9;9;0;0
9;9;546.853;66.326;480.527;50;545.595;9;9;0;1
9;10;38.114;14.193;23.921;50;36.999;2;2;0;2
9;9;240.143;69.037;171.106;50;239.059;9;9;0;3
9;10;743.688;80.4101;663.278;50;742.608;10;10;0;4
9;9;979.835;146.12;833.715;50;978.764;19;19;0;5
9;9;7.796;7.796;0;50;6.72;1;1;0;6
9;9;690.568;65.7701;624.798;50;689.519;8;8;0;7
9;9;306.575;52.086;254.489;50;305.502;7;7;0;8
9;10;1049.36;164.125;885.231;50;1048.21;22;22;0;9
9;9.3;514.108;73.1685;440.94;50;513.003;0;9;6.72;9.6;96;0
