Instância;Custo Médio;Tempo Médio(ms);Tempo Médio Solução Inicial(ms);MIPGap
20-0,8;2,4;13,2564;10,1119;0,0000
20-0,5;3,1;11,8798;10,0776;0,0000
20-0,2;6,7;11,8613;10,0922;0,0000
30-0,8;2,8;17,4160;10,1542;0,0000
30-0,5;3,7;31,7117;10,1881;0,0000
30-0,2;7,4;15,8390;10,1488;0,0000
40-0,8;2,9;23,4275;20,3055;0,0000
40-0,5;3,7;25,6751;20,3253;0,0000
40-0,2;7,4;22,4505;20,2853;0,0000
50-0,8;3,0;27,6608;20,4613;0,0000
50-0,5;4,0;100,6849;20,4897;0,0000
50-0,2;8,6;66,5043;20,4700;0,0000
