Instância;Custo Médio Após IG;Custo Médio;Tempo Médio da Solução Inicial(ms);Tempo Médio Total(ms);Tempo Médio Construtivo(ms);Tempo Médio MIP(ms);Tempo Médio(ms);Tempo Limite do GRASP(ms);Semente;Menor Custo Médio;Tempo Médio do Menor Custo Médio(ms);Tentativa Média com Melhora;Tentativa Mínima com Melhora;Tentativa Máxima com Melhora;Número de Soluções Média do IG;Número de Soluções do GRASP;Número de Soluções Repetidas do GRASP;Número de Soluções do IG;Número de Soluções Repetidas do IG;Número de Soluções Parciais Repetidas;Diferença média entre as Soluções;Diferença mínima entre as Soluções;Diferença máxima entre as Soluções
20-0.8;2.4000;2.5100;0.3993;0.3294;0.3294;0.0000;0.2651;1;0;2.4;0.2651;0.00;0.00;0.00;8.50;100;0;101;0;0;3.66;2.00;8.00
20-0.5;3.1000;3.4400;0.9932;0.7195;0.7195;0.0000;0.6154;1;0;3.1;0.6154;0.00;0.00;0.00;7.50;100;0;405;0;0;5.86;2.00;9.00
20-0.2;6.7000;6.8100;0.4271;0.1564;0.1564;0.0000;0.3097;1;0;6.7;0.3097;0.00;0.00;0.00;3.00;100;0;43;0;0;4.61;2.00;9.00
30-0.8;2.8000;2.8000;0.0784;0.0000;0.0000;0.0000;0.0784;1;0;2.8;0.0784;0.00;0.00;0.00;0.00;100;0;0;0;0;0.00;0.00;0.00
30-0.5;3.7000;3.7400;0.3808;0.0782;0.0782;0.0000;0.3128;1;0;3.7;0.3128;0.00;0.00;0.00;1.00;100;0;5;0;0;5.00;2147483648.00;0.00
30-0.2;7.4000;7.5700;1.0048;1.3238;1.3238;0.0000;1.3872;1;0;7.4;1.3872;0.00;0.00;0.00;13.33;100;0;349;0;0;7.10;2.00;18.00
40-0.8;2.9000;2.9000;0.1477;0.0000;0.0000;0.0000;0.1477;1;0;2.9;0.1477;0.00;0.00;0.00;0.00;100;0;0;0;0;0.00;0.00;0.00
40-0.5;3.7000;3.8700;0.7947;0.6531;0.6531;0.0000;0.5497;1;0;3.7;0.5497;0.00;0.00;0.00;6.33;100;0;123;0;0;5.39;2.00;10.00
40-0.2;7.4000;7.8400;1.9706;5.3327;5.3327;0.0000;4.6808;1;0;7.4;4.6808;0.00;0.00;0.00;15.50;100;0;1005;0;0;10.40;2.00;23.00
50-0.8;3.0000;3.0000;0.2941;0.0000;0.0000;0.0000;0.2941;1;0;3.0;0.2941;0.00;0.00;0.00;0.00;100;0;0;0;0;0.00;0.00;0.00
50-0.5;4.0100;4.2900;1.5950;32.4840;32.4840;0.0000;21.2393;1;0;4.0;23.0628;0.00;0.00;0.00;120.00;100;0;4582;0;0;7.92;2.00;14.00
50-0.2;8.6000;8.9400;2.1549;2.4499;2.4499;0.0000;2.5468;1;0;8.6;2.5468;0.00;0.00;0.00;7.70;100;0;370;0;0;15.64;2.00;24.00
