Instância;Custo Médio Após BL;Custo Médio;Tempo Médio Total(ms);Tempo Médio Construtivo(ms);Tempo Médio BL(ms);Tempo Limite Médio(s);Tempo Médio(ms);Semente;Menor Custo Médio;Tempo Médio do Menor Custo Médio(ms);Media de Iteracoes
100-0.2-125;11.0;11.8;968.7506;343.9500;624.8007;25.00;968.4891;0;11.0;77.8972;102.44;10244;1180
200-0.8-50;2.0;2.0;11.1106;11.1106;0.0000;50.00;4.8905;0;2.0;4.7152;1.00;100;0
200-0.5-50;2.2;2.2;14.0161;9.2261;4.7900;50.00;9.5315;0;2.2;4.1426;1.07;107;0
200-0.2-50;5.2;5.5;261.0832;21.2795;239.8033;50.00;259.7277;0;5.2;24.3091;4.61;461;19
200-0.8-100;2.6;2.8;509.5523;45.6147;463.9375;50.00;499.9480;0;2.6;112.8750;3.18;318;0
200-0.5-100;3.4;3.6;1740.5798;59.2706;1681.3113;50.00;1237.4148;0;3.4;439.1998;5.91;591;1
200-0.2-100;8.1;8.5;15787.1924;1270.6521;14516.5439;50.00;6277.3506;0;7.9;5593.9419;174.01;17401;1462
200-0.8-200;4.0;4.0;30.9665;24.3006;6.6659;50.00;24.5303;0;4.0;16.9808;1.01;101;0
200-0.5-200;5.4;6.0;11991.5996;378.6424;11612.9600;50.00;10499.6904;0;5.4;1580.0916;21.24;2124;3
200-0.2-200;12.3;13.2;26966.9883;5536.4736;21430.5234;50.00;8148.2891;0;12.1;8114.9907;387.00;38700;47
200-0.8-250;4.1;4.6;13367.9971;363.8613;13004.1377;50.00;9874.7559;0;4.0;2424.1218;16.08;1608;5
200-0.5-250;6.4;6.8;9377.2051;434.4111;8942.7949;50.00;5875.3213;0;6.3;2036.6052;19.93;1993;4
200-0.2-250;14.0;14.9;21547.3008;8163.4570;13383.8594;50.00;6899.0068;0;13.9;5700.7139;430.25;43025;19
