Instância;Custo Médio Após BL;Custo Médio;Tempo Médio(ms);Tempo Médio Construtivo(ms);Tempo Médio BL(ms);Tempo Limite Médio(s);Tempo Médio(ms);Semente;Menor Custo Médio;Tempo Médio do Menor Custo Médio(ms);Media de Iteracoes
40-0.8;2.9000;2.9000;0.1310;0.0000;0.0000;0.0000;0.1310;1;0;2.9;0.1310;100;0;0;0;0
40-0.5;3.7000;3.8700;0.9239;9.1768;9.1768;0.0000;8.9311;1;0;3.7;8.9311;100;0;1797;1718;1583
40-0.2;7.4000;7.8400;2.0964;5.4020;5.4020;0.0000;4.9082;1;0;7.4;4.9082;100;0;450;150;6
50-0.8;3.0000;3.0000;0.2165;0.0000;0.0000;0.0000;0.2165;1;0;3.0;0.2165;100;0;0;0;0
50-0.5;4.0000;4.2900;1.6938;20.2158;20.2158;0.0000;19.8324;1;0;4.0;19.8324;100;0;1791;719;271
50-0.2;8.6000;8.9400;2.4173;3.6469;3.6469;0.0000;3.8348;1;0;8.6;3.8348;100;0;191;47;1
20-0.8;2.4500;2.5100;0.3064;13.6173;13.6173;0.0000;0.6421;1;0;2.4;0.6103;100;0;5150;5093;5011
20-0.5;3.1800;3.4300;0.8127;25.5608;25.5608;0.0000;3.6319;1;0;3.1;3.6553;105;0;9057;8894;8568
20-0.2;6.7000;6.7900;0.4317;0.2882;0.2882;0.0000;0.5044;1;0;6.7;0.5044;102;0;48;27;4
30-0.8;2.8000;2.8000;0.0706;0.0000;0.0000;0.0000;0.0706;1;0;2.8;0.0706;100;0;0;0;0
30-0.5;3.7000;3.7400;0.5227;0.5066;0.5066;0.0000;0.5354;1;0;3.7;0.5354;100;0;49;26;11
30-0.2;7.4000;7.5700;1.3235;1.6466;1.6466;0.0000;1.4948;1;0;7.4;1.4948;100;0;176;89;3
40-0.8;2.9000;2.9000;0.1323;0.0000;0.0000;0.0000;0.1323;1;0;2.9;0.1323;100;0;0;0;0
40-0.5;3.7000;3.8700;0.7719;9.1338;9.1338;0.0000;9.0334;1;0;3.7;9.0334;100;0;1797;1718;1583
40-0.2;7.4000;7.8400;2.1135;5.5178;5.5178;0.0000;4.6865;1;0;7.4;4.6865;100;0;450;150;6
50-0.8;3.0000;3.0000;0.2168;0.0000;0.0000;0.0000;0.2168;1;0;3.0;0.2168;100;0;0;0;0
50-0.5;4.0000;4.2900;1.9259;20.4846;20.4846;0.0000;19.8783;1;0;4.0;19.8783;100;0;1791;719;271
50-0.2;8.6000;8.9400;2.3074;3.9386;3.9386;0.0000;3.8505;1;0;8.6;3.8505;100;0;191;47;1
20-0.8;2.4500;2.5100;0.3086;13.8880;13.8880;0.0000;0.6438;1;0;2.4;0.6083;100;0;5150;5093;5011
20-0.5;3.1800;3.4300;0.8222;26.2736;26.2736;0.0000;3.6666;1;0;3.1;3.6913;103;0;9057;8894;8568
20-0.2;6.7000;6.7900;0.4336;0.2883;0.2883;0.0000;0.5063;1;0;6.7;0.5063;102;0;48;27;4
30-0.8;2.8000;2.8000;0.0714;0.0000;0.0000;0.0000;0.0714;1;0;2.8;0.0714;100;0;0;0;0
30-0.5;3.7000;3.7400;0.3650;0.3468;0.3468;0.0000;0.5358;1;0;3.7;0.5358;100;0;49;26;11
30-0.2;7.4000;7.5700;1.2772;1.6323;1.6323;0.0000;1.4663;1;0;7.4;1.4663;100;0;176;89;3
40-0.8;2.9000;2.9000;0.1332;0.0000;0.0000;0.0000;0.1332;1;0;2.9;0.1332;100;0;0;0;0
40-0.5;3.7000;3.8700;0.7844;9.2388;9.2388;0.0000;9.1352;1;0;3.7;9.1352;100;0;1797;1718;1583
40-0.2;7.4000;7.8400;2.2892;5.4090;5.4090;0.0000;4.7738;1;0;7.4;4.7738;100;0;450;150;6
50-0.8;3.0000;3.0000;0.2228;0.0000;0.0000;0.0000;0.2228;1;0;3.0;0.2228;100;0;0;0;0
50-0.5;4.0000;4.2900;1.7615;20.4485;20.4485;0.0000;20.1055;1;0;4.0;20.1055;100;0;1791;719;271
50-0.2;8.6000;8.9400;2.2565;3.8242;3.8242;0.0000;3.8142;1;0;8.6;3.8142;100;0;191;47;1
