
10;12;2.998;25.6;20.623;4.977;22.596;1;60;19;0
10;12;3.167;25.412;20.62;4.792;22.239;1;60;19;1
10;12;3.975;422.461;338.086;84.375;418.472;1;1245;488;2
10;12;2.851;419.689;338.337;81.352;416.809;1;1222;468;3
10;12;3.045;68.569;54.989;13.58;65.514;1;182;65;4
10;12;4.304;307.81;247.243;60.567;303.49;1;852;310;5
10;11;3.099;29.248;24.069;5.179;26.14;1;84;42;6
10;12;3.204;247.137;198.548;48.589;243.909;1;676;224;7
10;12;2.936;94.358;74.699;19.659;91.414;1;260;94;8
10;12;2.708;6.255;4.608;1.647;3.539;1;6;2;9
10;11.9;3.2287;164.654;132.182;32.4717;161.412;1;0;10;3.539;4647;1731
