
5;6;923.165;31124.7;8871.82;22252.8;30201.4;100;1;0;2002;911;0
5;6;889.143;30982.9;8793.79;22189.1;30093.7;100;1;0;2002;911;1
5;6;648.602;10668.9;3353.94;7314.96;10020.3;100;1;0;676;297;2
5;6;985.446;33044.2;8697.57;24346.6;32058.7;100;1;0;1972;929;3
5;6;538.751;41782;11132.9;30649.1;41243.2;100;1;0;2719;1236;4
5;6;720.251;6313.61;1998.03;4315.58;5593.33;100;1;0;337;168;5
5;6;472.689;28806.1;7577.79;21228.3;28333.3;100;1;0;1799;853;6
5;6;921.406;21191.4;6124.57;15066.8;20270;100;1;0;1300;551;7
5;6;586.911;36213.1;10666.1;25547;35626.1;100;1;0;2501;1171;8
5;6;897.234;16281.2;5140.5;11140.7;15383.9;100;1;0;1026;436;9
5;6;758.36;25640.8;7235.7;18405.1;24882.4;100;2002;5;24882.4;10;0;16334;7463
